"DateTime","Australia","Canada","China","Denmark","Finland","France","Germany","Hong Kong","India","Indonesia","Italy","Japan","Malaysia","Mexico","Norway","Philippines","Saudi Arabia","Singapore","Spain","Sweden","Taiwan","Thailand","UAE","UK","USA","Vietnam"
"2020-02-21 23:51:40",,,,,,,,,,,,,,,,,,24
"2020-04-28 23:51:40",,,,,,,,88,,,,,,,,,,,,,88
"2020-04-29 23:51:40",,,,,,,,,,,,,,,,,56,,,,,,78
"2020-04-30 23:51:40",,,,,,,,,,,87,,,,,,,,72
"2020-05-01 23:51:40",,,,,,56,,,82,,,,,,,,,90,,,,,,13
"2020-05-03 23:51:40",25,,,5,7,,,,,,,,,,7,,,,,2
"2020-05-04 23:51:40",,,88,,,,62,,,84,,86,85,,,84,63,,,,,87,80,,,86
"2020-05-05 23:51:40",,,,,,,,90,,,,,,,,,,,,,87
"2020-05-15 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,18
"2020-05-20 23:51:40",,,,,,76,,,,,,,,,,,,,84
"2020-05-21 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,20
"2020-05-22 23:51:40",18,,,,,,,,,82,,,,,,,,92
"2020-05-25 23:51:40",,,,3,,,64,87,,,,,85,,5,82,,,,4,86,86,,,,79
"2020-05-26 23:51:40",,49,83,,,,,,,,85,,,,,,,,,,,,,,68
"2020-05-27 23:51:40",,,,,,79
"2020-05-28 23:51:40",,,,,,,,,,,,,,,,,,,86
"2020-05-30 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,21
"2020-06-01 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,69
"2020-06-02 23:51:40",,,,,,,,,,,86
"2020-06-03 23:51:40",,,,,,,,,,,,,,,,,72,,,,,,81
"2020-06-04 23:51:40",,,,,,77
"2020-06-05 23:51:40",17,,,,,,,,,,,,,,,,,89,,,,,,21
"2020-06-08 23:51:40",,,83,,,,,90,,84,,,88,,,84,,,86,,81,84,,,66,80
"2020-06-09 23:51:40",,,,,,,,,,,,,,,,,,,,5
"2020-06-10 23:51:40",,,,,,,,,,,85,,,,,,73,,,,,,79
"2020-06-11 23:51:40",,58
"2020-06-12 23:51:40",,,,,,75,,,,,,,,,,,,,87
"2020-06-15 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,69
"2020-06-16 23:51:40",,,,,,,,,,,,,,,,,,,,6,,,,27
"2020-06-17 23:51:40",,,,,,78,,,,,84,,,,,,71,,,,,,80
"2020-06-18 23:51:40",,,,4,,,64
"2020-06-19 23:51:40",21,,,,,,,,,,,,,,,,,92
"2020-06-20 23:51:40",,,,,7
"2020-06-21 23:51:40",,,,,,,,,,,,,,,,,,,80
"2020-06-22 23:51:40",,,82,,,,,86,,85,,,89,,,82,,,,,85,84,,,71,78
"2020-06-23 23:51:40",,,,,,,,,,,81
"2020-06-24 23:51:40",,,,,,78
"2020-06-25 23:51:40",,,,,,,,,,,,,,,,,,,86,,,,,31
"2020-06-26 23:51:40",,60
"2020-07-01 23:51:40",,,,,,78
"2020-07-02 23:51:40",,,,,,,65
"2020-07-03 23:51:40",20,,,,,,,,,,,,,,,,,,,,,,,36
"2020-07-05 23:51:40",,,,,,,,,,,,,,,,,,,,,,,79
"2020-07-06 23:51:40",,,82,,,,,86,,85,,,86,,,84,,,,,81,83,,,73,74
"2020-07-07 23:51:40",,60,,,,,,,,,83,,,,,,,90
"2020-07-09 23:51:40",,,,,,,,,,,,,,,,,,,88
"2020-07-12 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,38
"2020-07-13 23:51:40",,,,,,,,,,,,,,,,,75,,,,,,81
"2020-07-14 23:51:40",,,,,,,,,,,85,,,,,,,,,,,,,,78
"2020-07-16 23:51:40",,,,,,79,66,,,,,,,,,,,,86
"2020-07-20 23:51:40",,,80,,,,,,,85,,,85,,,84,,92,,,80,88,,,74,79
"2020-07-21 23:51:40",,74,,,,,,86,,,84,,,,,,,,,,,,80
"2020-07-22 23:51:40",,,,,,83
"2020-07-23 23:51:40",,,,,,,,,82,,,,,,,,,,88
"2020-07-26 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,57
"2020-07-27 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,77
"2020-07-28 23:51:40",,,,,,,,,,,81
"2020-07-29 23:51:40",,,,,,,,,,,,,,,,,71,,,,,,79
"2020-07-30 23:51:40",,,,,,,65,,,,,,,,,,,,90
"2020-07-31 23:51:40",,,,,,85,,,,,,,,,,,,,,,,,,69
"2020-08-02 23:51:40",41,,,,,,,,82
"2020-08-03 23:51:40",,,,,,,,,,83,,,84,,,83,,88,,,81,84,,,75,76
"2020-08-04 23:51:40",,79,81,,,,,89
"2020-08-05 23:51:40",,,,,,,,,81
"2020-08-06 23:51:40",,,,,,,,,,,,,,,,,,,89
"2020-08-07 23:51:40",,,,,,84,,,,,,,,,,,,,,,,,,65
"2020-08-10 23:51:40",,,,,,,,,,,,,,,,,71,,,,,,,,81
"2020-08-11 23:51:40",,,,,,,,,,,,,,,,,,,,,,,77
"2020-08-12 23:51:40",,,,,,81,,,,,,,,,,,,,,,,,,75
"2020-08-13 23:51:40",,,,,,,66
"2020-08-14 23:51:40",,,,,,,,,87,,,,,,,,,90
"2020-08-17 23:51:40",,,79,,,,,,,82,,,91,,,86,,,,,84,83,,,77,82
"2020-08-18 23:51:40",,,,,,,,89,,,83
"2020-08-19 23:51:40",,,,,,,,,,,,,,,,,69
"2020-08-21 23:51:40",,,,,,,,,80
"2020-08-24 23:51:40",,80,,,,,,,,,,,,,,,,,,,,,75
"2020-08-25 23:51:40",,,,,,,,,,,84,,,,,,,,89,,,,,74,77
"2020-08-27 23:51:40",,,,,,,63
"2020-08-28 23:51:40",,,,,,,,,,,,,,,,,,90
"2020-08-30 23:51:40",48
"2020-08-31 23:51:40",,,81,,,,,87,,82,,,89,,,86,68,,,,83,77,,,,78
"2020-09-01 23:51:40",,80,,,,,,,,,82,,,,,,,,,,,,,,79
"2020-09-02 23:51:40",,,,,,81
"2020-09-04 23:51:40",,,,,,,,,,,,,,,,,,,87
"2020-09-06 23:51:40",,,,,21
"2020-09-08 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,71,75
"2020-09-09 23:51:40",,,,,,,,,,,85
"2020-09-10 23:51:40",,,,,,80,64,,,,,,,,,,,,89
"2020-09-11 23:51:40",,,,,,,,,,,,,,,,,,87,,8
"2020-09-13 23:51:40",,,,34
"2020-09-14 23:51:40",,,79,,,,,,,86,,,88,,16,87,,,,,85,76,,,77,75
"2020-09-15 23:51:40",,,,,,,,87
"2020-09-16 23:51:40",,,,,,,,,,,85,,,,,,,,,,,,,76
"2020-09-18 23:51:40",,,,,,,,,80,,,,,,,,,,88
"2020-09-20 23:51:40",,,,,22
"2020-09-21 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,76
"2020-09-22 23:51:40",,,,,,83
"2020-09-23 23:51:40",,,,37,,,,,,,,,,,,,,,89,7
"2020-09-24 23:51:40",,,,,,,62,,83
"2020-09-25 23:51:40",,,,,,,,,,,,,,,,,,89
"2020-09-27 23:51:40",,,,,,,,,,,,,,,18
"2020-09-28 23:51:40",,,81,,,,,90,,85,,,90,,,87,,,,,85,78,,,78,75
"2020-09-29 23:51:40",,,,,,,,,,,88,,,,,,,,,,,,,76
"2020-09-30 23:51:40",,,,,,77,,,,,,,,,,,66,,89,,,,76
"2020-10-02 23:51:40",,,,,,,,,80
"2020-10-06 23:51:40",,,,,,,,,,,88,,,,,,,,,,,,,,77
"2020-10-07 23:51:40",,,,,,,,,,,,,,,,,71,,,,,,78,76
"2020-10-08 23:51:40",,,,,,,64
"2020-10-09 23:51:40",,,,,,,,,,,,,,,,,,88,,9
"2020-10-11 23:51:40",,,,,,,,,77,,,,,,24
"2020-10-12 23:51:40",,,82,40,46,,,88,,84,,,92,,,88,,,,,82,81,,,79,79
"2020-10-13 23:51:40",,,,,,,,,,,88
"2020-10-14 23:51:40",,,,,,,,,,,,,,,,,69,,,,,,77
"2020-10-15 23:51:40",,,,,,81
"2020-10-16 23:51:40",,,,,,,,,,,,,,,,,,,89
"2020-10-19 23:51:40",,,,,,,,,79,,,,,,,,,,,,,,,,76
"2020-10-20 23:51:40",,,,,,,,,,,84
"2020-10-22 23:51:40",,,,,,84,64,,,,,,,,,,,,,,,,,74
"2020-10-23 23:51:40",,,,,,,,,79,,,,,,,,,92
"2020-10-26 23:51:40",,,,,,,,,,86,,,91,,,84,,,,,,82,,,78,79
"2020-10-27 23:51:40",,,,,,,,89,,,89,,,,,,,,,,86
"2020-10-28 23:51:40",,,,,,82
"2020-10-30 23:51:40",,84
"2020-10-31 23:51:40",,,,,,,,,83
"2020-11-02 23:51:40",,,,,,,,,,,,,,,,,71,,,,,,76,,80
"2020-11-03 23:51:40",,,,,56,,,,,,88,,,,,,,,,9
"2020-11-04 23:51:40",,,,,,83,72,,,,,,,,,,,,87
"2020-11-05 23:51:40",,,,72
"2020-11-06 23:51:40",,,,,,,,,79,,,,,,,,,91
"2020-11-09 23:51:40",,,,,,,,89,,85,,,91,,40,85,72,,,,82,82,,,81,77
"2020-11-10 23:51:40",,,,,,,,,,,87
"2020-11-11 23:51:40",,,,,,,,,,,,,,,,,,,,,,,76
"2020-11-12 23:51:40",,,,,56
"2020-11-13 23:51:40",,,,,,,,,79
"2020-11-16 23:51:40",,,,,,,,,,,,,,,,,,,90,,,,,,83
"2020-11-17 23:51:40",,,,,,,,,,,86,,,,,,71
"2020-11-18 23:51:40",,,,73,,84,,,,,,,,,,,,,,,,,,75
"2020-11-19 23:51:40",,,,,,,69
"2020-11-20 23:51:40",,,,,,,,,,,,,,,,,,91,,15
"2020-11-22 23:51:40",,,,,,,,,,,,,,,47
"2020-11-23 23:51:40",,,,,,,,,,83,,,90,,,85,,,87,,,86,,,,80
"2020-11-24 23:51:40",,,,,,,,88,,,,,,,,,,,,,84
"2020-11-25 23:51:40",,,,,,82,,,,,,,,,,,,,,,,,,,81
"2020-11-26 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,74
"2020-11-27 23:51:40",,86,,,65
"2020-11-30 23:51:40",,,,,,,,,,,,,,,,,75,,,,,,78
"2020-12-01 23:51:40",,,,,,,,,,,84
"2020-12-02 23:51:40",,,,69,,81,,,,,,,,,,,,,85,16,,,,,80
"2020-12-04 23:51:40",,,,,,,73,,,,,,,,,,,87,,,,,,76
"2020-12-07 23:51:40",,,,,,,,89,,84,,,89,,48,88,,,,,83,83,,,,83
"2020-12-09 23:51:40",,,,,,81,,,,,84
"2020-12-14 23:51:40",,,,,,,,,,,88,,,,,,,,,,,,,,79
"2020-12-15 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,77
"2020-12-16 23:51:40",,,,,,83,,,,,,,,,,,69,,,,,,79
"2020-12-17 23:51:40",,,,,,,74
